symbol,close,rs,rs_ma,rs_slope,price_sma20,price_wma200,score,total_active,tier,conditions,run_date,data_flag,is_clean,rs_rank,grade,sector
AMDIND,41.5,-0.1905,-0.2239,0.113,49.35,58.27,1,7,Filtered,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': False, 'C11_Near_52w_High': False}",2026-03-03,,True,39.4,D,Other
SUNDRMFAST,873.15,-0.1909,-0.2176,-0.0062,935.89,1069.52,2,7,Filtered,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': False, 'C3_RS_MA_Rising': True, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': False, 'C11_Near_52w_High': True}",2026-03-03,,True,39.4,D,Other
RELIGARE,211.87,-0.1912,-0.1349,-0.0163,243.03,234.25,2,7,Filtered,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': False, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,39.3,D,Other
SILINV,436.0,-0.1919,-0.2272,0.1167,525.03,517.13,1,7,Filtered,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': False, 'C11_Near_52w_High': False}",2026-03-03,,True,39.2,D,Other
HINDCOMPOS,411.5,-0.1919,-0.1545,-0.0081,437.35,445.03,1,7,Filtered,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': False, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': False, 'C11_Near_52w_High': True}",2026-03-03,,True,39.2,D,Other
PONNIERODE,272.9,-0.1925,-0.3354,0.1135,275.76,360.71,3,7,Watchlist,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': True, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': False, 'C11_Near_52w_High': True}",2026-03-03,,True,39.1,D,Other
ORIENTELEC,185.11,-0.1926,-0.2448,0.0726,185.39,219.42,3,7,Watchlist,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,39.1,D,Other
REGENCERAM,42.0,-0.1933,-0.2631,0.0815,46.04,44.9,3,7,Watchlist,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': True, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': False, 'C11_Near_52w_High': True}",2026-03-03,,True,39.0,D,Other
BAJAJHLDNG,10804.0,-0.1935,-0.0233,-0.0751,11437.15,10273.91,2,7,Filtered,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': False, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': True, 'C10_Min_Volume': False, 'C11_Near_52w_High': True}",2026-03-03,,True,38.9,D,Other
BERGEPAINT,456.1,-0.1936,0.0046,-0.1737,521.73,528.9,2,7,Filtered,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': False, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,38.9,D,Other
CENTRUM,24.8,-0.194,-0.1582,0.0911,29.04,30.91,2,7,Filtered,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': True, 'C11_Near_52w_High': False}",2026-03-03,,True,38.8,D,Other
TECHM,1357.8,-0.1943,-0.1299,-0.1355,1536.32,1398.82,2,7,Filtered,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': False, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,38.8,D,IT
OPTIEMUS,413.8,-0.1953,-0.2865,0.2594,500.47,473.27,2,7,Filtered,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': True, 'C11_Near_52w_High': False}",2026-03-03,,True,38.6,D,Other
SWANCORP,382.4,-0.1957,-0.2895,0.1598,438.52,478.05,3,7,Watchlist,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': True, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': True, 'C11_Near_52w_High': True}",2026-03-03,,True,38.6,D,Other
ALKYLAMINE,1484.3,-0.1957,-0.1801,-0.0307,1649.29,2012.08,0,7,Filtered,"{'C1_RS_Positive': False, 'C2_RS_Slope_Positive': False, 'C3_RS_MA_Rising': False, 'C4_Price_Above_SMA': False, 'C5_Above_WMA200': False, 'C10_Min_Volume': False, 'C11_Near_52w_High': False}",2026-03-03,,True,38.6,D,Other
